市区町丁,ひったくり,オートバイ盗,自動販売機ねらい,自動車盗,自転車盗,車上ねらい,部品ねらい
渋谷区恵比寿１丁目,0,0,0,0,6,2,0
渋谷区恵比寿２丁目,0,0,0,0,2,0,0
渋谷区恵比寿３丁目,0,0,0,0,5,0,0
渋谷区恵比寿４丁目,0,0,0,0,4,1,1
渋谷区本町１丁目,0,0,0,0,7,0,0
渋谷区本町２丁目,0,0,0,0,7,0,0
渋谷区本町３丁目,0,0,0,1,6,0,0
渋谷区本町４丁目,0,0,0,0,7,0,3
渋谷区本町５丁目,0,1,0,0,11,0,1
渋谷区本町６丁目,0,0,0,0,7,1,0
渋谷区東１丁目,1,0,0,0,5,1,0
渋谷区東２丁目,0,0,0,0,11,0,0
渋谷区東３丁目,0,0,0,0,3,0,0
渋谷区桜丘町,1,0,0,0,6,1,0
渋谷区渋谷１丁目,0,0,0,0,23,0,3
渋谷区渋谷２丁目,0,0,0,0,12,0,0
渋谷区渋谷３丁目,0,0,0,0,11,0,0
渋谷区渋谷４丁目,0,0,0,0,0,1,0
渋谷区猿楽町,0,0,0,0,1,0,0
渋谷区神南１丁目,0,0,0,0,7,0,1
渋谷区神南２丁目,0,0,0,0,1,0,0
渋谷区神宮前１丁目,0,0,0,0,4,1,0
渋谷区神宮前２丁目,0,0,0,0,7,1,1
渋谷区神宮前３丁目,0,1,0,0,10,2,3
渋谷区神宮前４丁目,0,0,0,0,7,0,0
渋谷区神宮前５丁目,0,0,0,0,7,1,0
渋谷区神宮前６丁目,0,0,0,0,7,3,0
渋谷区神山町,0,0,0,0,10,1,0
渋谷区神泉町,1,0,0,0,5,0,1
渋谷区笹塚１丁目,0,0,2,0,35,2,0
渋谷区笹塚２丁目,0,1,1,0,17,1,0
渋谷区笹塚３丁目,0,0,0,0,2,0,1
渋谷区西原１丁目,0,0,0,1,8,0,0
渋谷区西原２丁目,0,0,0,0,4,0,0
渋谷区西原３丁目,0,0,0,0,5,0,0
渋谷区道玄坂１丁目,0,1,0,0,22,2,0
渋谷区道玄坂２丁目,0,1,0,0,11,2,0
渋谷区鉢山町,0,0,0,0,2,0,0
豊島区上池袋１丁目,0,0,1,0,15,0,0
豊島区上池袋２丁目,0,0,0,0,9,1,0
豊島区上池袋３丁目,0,0,0,0,1,1,0
豊島区上池袋４丁目,0,0,0,0,2,0,0
豊島区北大塚１丁目,0,0,0,0,4,1,0
豊島区北大塚２丁目,0,0,1,0,15,0,1
豊島区北大塚３丁目,0,0,0,0,6,0,0
豊島区千川１丁目,0,0,0,0,1,0,0
豊島区千川２丁目,0,1,0,0,1,0,0
豊島区千早１丁目,0,0,0,0,7,0,0
豊島区千早２丁目,0,0,0,1,9,0,2
豊島区千早３丁目,0,0,0,1,2,0,1
豊島区千早４丁目,0,0,0,0,5,0,0
豊島区南大塚１丁目,0,0,0,0,9,1,1
豊島区南大塚２丁目,0,0,1,0,7,1,0
豊島区南大塚３丁目,0,0,1,0,12,1,0
豊島区南池袋１丁目,0,0,0,0,9,0,0
豊島区南池袋２丁目,0,0,0,0,15,1,0
豊島区南池袋３丁目,0,0,0,0,3,1,1
豊島区南池袋４丁目,0,0,0,0,3,0,0
豊島区南長崎１丁目,0,0,0,0,6,0,0
豊島区南長崎２丁目,0,0,0,0,1,0,0
豊島区南長崎３丁目,0,0,0,0,3,1,1
豊島区南長崎４丁目,0,0,0,0,12,0,3
豊島区南長崎５丁目,0,1,0,0,8,0,0
豊島区南長崎６丁目,0,0,0,0,2,0,1
豊島区巣鴨１丁目,0,1,0,0,11,1,0
豊島区巣鴨２丁目,0,0,0,0,6,1,0
豊島区巣鴨３丁目,0,0,1,0,9,0,0
豊島区巣鴨４丁目,0,0,0,0,5,0,0
豊島区巣鴨５丁目,0,0,0,0,4,0,1
豊島区東池袋１丁目,0,0,0,0,26,2,0
豊島区東池袋２丁目,0,0,0,0,17,1,2
豊島区東池袋３丁目,0,1,0,0,11,2,1
豊島区東池袋４丁目,0,0,0,0,7,0,0
豊島区東池袋５丁目,0,0,0,0,6,1,1
豊島区池袋本町１丁目,0,1,0,0,9,0,0
豊島区池袋本町２丁目,0,0,0,0,17,0,1
豊島区池袋本町３丁目,0,0,0,0,3,0,0
豊島区池袋本町４丁目,0,0,0,0,6,0,0
豊島区池袋１丁目,0,1,0,0,9,0,0
豊島区池袋２丁目,3,1,0,0,42,2,2
豊島区池袋３丁目,1,0,0,0,18,0,0
豊島区池袋４丁目,0,0,0,1,13,1,1
豊島区目白１丁目,0,0,0,0,1,0,0
豊島区目白２丁目,0,0,0,0,5,0,0
豊島区目白３丁目,0,0,0,0,9,0,0
豊島区目白４丁目,0,0,0,0,6,0,0
豊島区目白５丁目,0,0,0,0,6,0,1
豊島区西巣鴨１丁目,0,0,0,0,7,0,0
豊島区西巣鴨２丁目,0,0,0,0,4,0,0
豊島区西巣鴨３丁目,0,0,0,0,4,1,1
豊島区西巣鴨４丁目,0,1,0,0,4,0,0
豊島区西池袋１丁目,0,0,1,0,52,5,1
豊島区西池袋２丁目,0,0,0,0,6,0,0
豊島区西池袋３丁目,0,1,0,0,19,0,1
