市区町丁,ひったくり,オートバイ盗,自動販売機ねらい,自動車盗,自転車盗,車上ねらい,部品ねらい
渋谷区神宮前６丁目,0.0,0.0,0.0,0.0,0.7,0.3,0.0
渋谷区神山町,0.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0
渋谷区神泉町,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285
渋谷区笹塚１丁目,0.0,0.0,0.05128205128205128,0.0,0.8974358974358975,0.05128205128205128,0.0
渋谷区笹塚２丁目,0.0,0.05,0.05,0.0,0.85,0.05,0.0
渋谷区笹塚３丁目,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
渋谷区西原１丁目,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0
渋谷区西原２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
渋谷区西原３丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
渋谷区道玄坂１丁目,0.0,0.04,0.0,0.0,0.88,0.08,0.0
渋谷区道玄坂２丁目,0.0,0.07142857142857142,0.0,0.0,0.7857142857142857,0.14285714285714285,0.0
渋谷区鉢山町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区上池袋１丁目,0.0,0.0,0.0625,0.0,0.9375,0.0,0.0
豊島区上池袋２丁目,0.0,0.0,0.0,0.0,0.9,0.1,0.0
豊島区上池袋３丁目,0.0,0.0,0.0,0.0,0.5,0.5,0.0
豊島区上池袋４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区北大塚１丁目,0.0,0.0,0.0,0.0,0.8,0.2,0.0
豊島区北大塚２丁目,0.0,0.0,0.058823529411764705,0.0,0.8823529411764706,0.0,0.058823529411764705
豊島区北大塚３丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区千川１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区千川２丁目,0.0,0.5,0.0,0.0,0.5,0.0,0.0
豊島区千早１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区千早２丁目,0.0,0.0,0.0,0.08333333333333333,0.75,0.0,0.16666666666666666
豊島区千早３丁目,0.0,0.0,0.0,0.25,0.5,0.0,0.25
豊島区千早４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区南大塚１丁目,0.0,0.0,0.0,0.0,0.8181818181818182,0.09090909090909091,0.09090909090909091
豊島区南大塚２丁目,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,0.1111111111111111,0.0
豊島区南大塚３丁目,0.0,0.0,0.07142857142857142,0.0,0.8571428571428571,0.07142857142857142,0.0
豊島区南池袋１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区南池袋２丁目,0.0,0.0,0.0,0.0,0.9375,0.0625,0.0
豊島区南池袋３丁目,0.0,0.0,0.0,0.0,0.6,0.2,0.2
豊島区南池袋４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区南長崎１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区南長崎２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区南長崎３丁目,0.0,0.0,0.0,0.0,0.6,0.2,0.2
豊島区南長崎４丁目,0.0,0.0,0.0,0.0,0.8,0.0,0.2
豊島区南長崎５丁目,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,0.0
豊島区南長崎６丁目,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
豊島区巣鴨１丁目,0.0,0.07692307692307693,0.0,0.0,0.8461538461538461,0.07692307692307693,0.0
豊島区巣鴨２丁目,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0
豊島区巣鴨３丁目,0.0,0.0,0.1,0.0,0.9,0.0,0.0
豊島区巣鴨４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区巣鴨５丁目,0.0,0.0,0.0,0.0,0.8,0.0,0.2
豊島区東池袋１丁目,0.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0.0
豊島区東池袋２丁目,0.0,0.0,0.0,0.0,0.85,0.05,0.1
豊島区東池袋３丁目,0.0,0.06666666666666667,0.0,0.0,0.7333333333333333,0.13333333333333333,0.06666666666666667
豊島区東池袋４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区東池袋５丁目,0.0,0.0,0.0,0.0,0.75,0.125,0.125
豊島区池袋本町１丁目,0.0,0.1,0.0,0.0,0.9,0.0,0.0
豊島区池袋本町２丁目,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.05555555555555555
豊島区池袋本町３丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区池袋本町４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区池袋１丁目,0.0,0.1,0.0,0.0,0.9,0.0,0.0
豊島区池袋２丁目,0.06,0.02,0.0,0.0,0.84,0.04,0.04
豊島区池袋３丁目,0.05263157894736842,0.0,0.0,0.0,0.9473684210526315,0.0,0.0
豊島区池袋４丁目,0.0,0.0,0.0,0.0625,0.8125,0.0625,0.0625
豊島区目白１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区目白２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区目白３丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区目白４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区目白５丁目,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285
豊島区西巣鴨１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区西巣鴨２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区西巣鴨３丁目,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
豊島区西巣鴨４丁目,0.0,0.2,0.0,0.0,0.8,0.0,0.0
豊島区西池袋１丁目,0.0,0.0,0.01694915254237288,0.0,0.8813559322033898,0.0847457627118644,0.01694915254237288
豊島区西池袋２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区西池袋３丁目,0.0,0.047619047619047616,0.0,0.0,0.9047619047619048,0.0,0.047619047619047616
豊島区西池袋４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区西池袋５丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区要町１丁目,0.0,0.0,0.0,0.0,0.9354838709677419,0.03225806451612903,0.03225806451612903
豊島区要町２丁目,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666
豊島区要町３丁目,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555,0.0
豊島区長崎１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区長崎２丁目,0.0,0.0,0.0,0.0,0.5,0.21428571428571427,0.2857142857142857
豊島区長崎３丁目,0.0,0.0,0.0,0.0,0.5,0.0,0.5
豊島区長崎４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区長崎５丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区長崎６丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区雑司が谷１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区雑司が谷２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区雑司が谷３丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区駒込１丁目,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.0
豊島区駒込２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区駒込３丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区駒込６丁目,0.0,0.0,0.0,0.0,0.5,0.5,0.0
豊島区高松１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区高松２丁目,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0
豊島区高松３丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
豊島区高田１丁目,0.0,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111
豊島区高田２丁目,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
豊島区高田３丁目,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0
