市区町丁,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
新宿区新宿７丁目,1,0,0,0,0,0,1,1,1,0,3,1,1,0,0,1,1,0,4,0,0,1,2,0
新宿区新小川町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
新宿区早稲田町,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区早稲田鶴巻町,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
新宿区横寺町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
新宿区歌舞伎町１丁目,2,4,1,3,1,0,2,2,6,5,4,0,4,0,3,4,4,4,11,7,4,4,3,2
新宿区歌舞伎町２丁目,7,5,4,4,4,1,2,1,1,1,2,0,6,3,0,0,4,5,3,3,3,2,3,5
新宿区河田町,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0
新宿区片町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
新宿区白銀町,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
新宿区百人町１丁目,2,1,1,1,0,1,0,1,1,0,0,5,1,0,1,0,2,5,2,1,1,2,2,0
新宿区百人町２丁目,1,2,2,1,0,0,0,1,1,0,4,2,1,2,4,4,2,2,3,0,1,3,1,4
新宿区百人町３丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
新宿区百人町４丁目,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
新宿区矢来町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
新宿区神楽坂３丁目,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新宿区神楽坂６丁目,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
新宿区神楽河岸,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
新宿区箪笥町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
新宿区舟町,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
新宿区若松町,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
新宿区若葉２丁目,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
新宿区若葉３丁目,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
新宿区荒木町,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
新宿区西新宿１丁目,1,0,0,1,0,0,0,2,7,4,4,1,5,5,4,2,2,1,1,1,2,1,2,2
新宿区西新宿２丁目,0,0,1,0,0,0,0,0,2,1,1,1,0,1,1,1,0,1,1,0,0,0,0,3
